president,year,party,china_sentiment,china_mention_count
Abraham Lincoln,1861,Republican,-0.05265992134809494,2
Abraham Lincoln,1862,Republican,0.850698709487915,1
Abraham Lincoln,1863,Republican,0.07576604932546616,1
Abraham Lincoln,1864,Republican,0.1862226277589798,2
Andrew Jackson,1831,Democratic,0.28108853101730347,1
Andrew Johnson,1865,Republican,0.9179655313491821,1
Andrew Johnson,1867,Republican,0.08868906646966934,1
Andrew Johnson,1868,Republican,-0.1594454050064087,1
Barack Obama,2009,Democratic,0.6609663963317871,1
Barack Obama,2010,Democratic,-0.4544692933559418,2
Barack Obama,2011,Democratic,0.6816243454813957,4
Barack Obama,2012,Democratic,-0.12164301276206971,5
Barack Obama,2013,Democratic,0.6256781816482544,1
Barack Obama,2014,Democratic,0.07014332711696625,2
Barack Obama,2015,Democratic,0.3093208149075508,4
Barack Obama,2016,Democratic,-0.15972879032293955,3
Benjamin Harrison,1889,Republican,0.07567148655653,5
Benjamin Harrison,1890,Republican,0.04029145340124766,4
Benjamin Harrison,1891,Republican,-0.18980119191110134,15
Benjamin Harrison,1892,Republican,-0.34092134702950716,3
Calvin Coolidge,1925,Republican,0.15566059947013855,2
Calvin Coolidge,1926,Republican,-0.037791254412796765,14
Calvin Coolidge,1927,Republican,0.16946399211883545,2
Calvin Coolidge,1928,Republican,0.07182405889034271,3
Chester A. Arthur,1881,Republican,0.3711976267397404,6
Chester A. Arthur,1882,Republican,0.06903142854571342,5
Chester A. Arthur,1883,Republican,-0.0662897564470768,8
Chester A. Arthur,1884,Republican,-0.0521401156272207,7
Donald Trump,2017,Republican,-0.8480817079544067,1
Donald Trump,2018,Republican,-0.49501525859038037,3
Donald Trump,2019,Republican,-0.30798054933547975,5
Donald Trump,2020,Republican,0.2777196019887924,6
Donald Trump,2025,Republican,-0.0484745887418588,6
Dwight D. Eisenhower,1953,Republican,-0.4836965998013814,6
Dwight D. Eisenhower,1954,Republican,-0.03168061375617981,5
Dwight D. Eisenhower,1955,Republican,-0.1406935192644596,2
Dwight D. Eisenhower,1956,Republican,-0.5322951599955559,2
Dwight D. Eisenhower,1959,Republican,0.4550096392631531,1
Dwight D. Eisenhower,1961,Republican,-0.2975528296083212,6
Franklin D. Roosevelt,1941,Democratic,-0.20230355858802795,1
Franklin D. Roosevelt,1942,Democratic,-0.4122210070490837,5
Franklin D. Roosevelt,1943,Democratic,0.0544637106359005,6
Franklin D. Roosevelt,1944,Democratic,0.7931273579597473,1
Franklin D. Roosevelt,1945,Democratic,0.32951988019049167,13
Franklin Pierce,1853,Democratic,0.30835123360157013,2
George Bush,1989,Republican,0.015059426426887512,2
George W. Bush,2002,Republican,0.6339953541755676,1
George W. Bush,2003,Republican,-0.18281948566436768,1
George W. Bush,2006,Republican,-0.2048681676387787,1
George W. Bush,2007,Republican,0.33695974946022034,1
George W. Bush,2008,Republican,0.7856308817863464,1
Gerald R. Ford,1975,Republican,0.9662420749664307,1
Gerald R. Ford,1976,Republican,0.93678879737854,1
Gerald R. Ford,1977,Republican,0.6160467863082886,1
Grover Cleveland,1885,Democratic,-0.12679430029608987,14
Grover Cleveland,1886,Democratic,-0.24616733193397522,6
Grover Cleveland,1888,Democratic,-0.18000206537544727,6
Grover Cleveland,1893,Democratic,-0.2717204578220844,4
Grover Cleveland,1894,Democratic,-0.004205459356307983,6
Grover Cleveland,1895,Democratic,0.007599894489560809,9
Harry S Truman,1946,Democratic,0.23774505220353603,4
Harry S Truman,1948,Democratic,0.18218985199928284,1
Harry S Truman,1951,Democratic,-0.23443126119673252,4
Harry S Truman,1952,Democratic,-0.06997811794281006,1
Harry S Truman,1953,Democratic,-0.013097892914499556,9
Herbert Hoover,1929,Republican,-0.2841603755950928,2
Herbert Hoover,1931,Republican,0.05527520179748535,2
James Buchanan,1857,Democratic,-0.15812085134287676,6
James Buchanan,1858,Democratic,0.16328665018081664,5
James Buchanan,1859,Democratic,0.19837869248456425,10
James Buchanan,1860,Democratic,0.31945155560970306,8
James K. Polk,1845,Democratic,-0.007257855497300625,2
James K. Polk,1847,Democratic,-0.3374933807386292,11
James K. Polk,1848,Democratic,-0.35519825853407383,2
Jimmy Carter,1978,Democratic,0.355019748210907,1
Jimmy Carter,1979,Democratic,0.657563790678978,10
Jimmy Carter,1980,Democratic,0.6373304453763096,17
Jimmy Carter,1981,Democratic,0.5178055986762047,10
John F. Kennedy,1961,Democratic,-0.575578898191452,2
John F. Kennedy,1962,Democratic,-0.3343158960342407,1
John F. Kennedy,1963,Democratic,-0.6368880569934845,3
John Quincy Adams,1825,Democratic-Republican,0.12489249557256699,1
John Tyler,1843,Whig,-0.3122664010152221,3
John Tyler,1844,Whig,0.29287296533584595,1
Joseph Biden,2021,Democratic,0.011921781301498412,5
Joseph Biden,2022,Democratic,0.05070982873439789,4
Lyndon B. Johnson,1966,Democratic,-0.2640083134174347,1
Lyndon B. Johnson,1967,Democratic,0.6509454548358917,3
Lyndon B. Johnson,1968,Democratic,-0.7934604585170746,2
Martin Van Buren,1838,Democratic,0.39803192019462585,1
Martin Van Buren,1840,Democratic,0.049061842262744904,1
Millard Fillmore,1851,Whig,-0.08621172110239665,3
Millard Fillmore,1852,Whig,0.511970654129982,2
Richard M. Nixon,1970,Republican,0.2158924639225006,1
Richard M. Nixon,1972,Republican,0.45714566856622696,2
Richard M. Nixon,1974,Republican,-0.04949205120404561,5
Ronald Reagan,1981,Republican,0.2476227879524231,1
Ronald Reagan,1985,Republican,0.27980947494506836,1
Ronald Reagan,1988,Republican,0.024859070777893066,1
