president,year,party,china_sentiment,china_mention_count
Abraham Lincoln,1861,Republican,0.7629,2
Abraham Lincoln,1862,Republican,0.5256,1
Abraham Lincoln,1863,Republican,-0.2023,1
Abraham Lincoln,1864,Republican,0.50525,2
Andrew Jackson,1831,Democratic,0.5719,1
Andrew Johnson,1865,Republican,0.5413,1
Andrew Johnson,1867,Republican,0.8176,1
Andrew Johnson,1868,Republican,0.5719,1
Barack Obama,2009,Democratic,0.6597,1
Barack Obama,2010,Democratic,0.1909,2
Barack Obama,2011,Democratic,0.28155,4
Barack Obama,2012,Democratic,0.0603,5
Barack Obama,2013,Democratic,0.743,1
Barack Obama,2014,Democratic,0.2473,2
Barack Obama,2015,Democratic,0.25775000000000003,4
Barack Obama,2016,Democratic,0.13486666666666666,3
Benjamin Harrison,1889,Republican,0.46016,5
Benjamin Harrison,1890,Republican,0.30816666666666664,4
Benjamin Harrison,1891,Republican,0.169125,15
Benjamin Harrison,1892,Republican,0.1813,3
Calvin Coolidge,1925,Republican,0.8286,2
Calvin Coolidge,1926,Republican,0.2157111111111111,14
Calvin Coolidge,1927,Republican,0.51695,2
Calvin Coolidge,1928,Republican,0.050949999999999995,3
Chester A. Arthur,1881,Republican,0.3282,6
Chester A. Arthur,1882,Republican,0.18707500000000005,5
Chester A. Arthur,1883,Republican,0.32306666666666667,8
Chester A. Arthur,1884,Republican,0.03435714285714283,7
Donald Trump,2017,Republican,-0.2023,1
Donald Trump,2018,Republican,0.09393333333333335,3
Donald Trump,2019,Republican,0.3934,5
Donald Trump,2020,Republican,0.40107499999999996,6
Donald Trump,2025,Republican,0.12233333333333334,6
Dwight D. Eisenhower,1953,Republican,-0.14923333333333333,6
Dwight D. Eisenhower,1954,Republican,0.24594,5
Dwight D. Eisenhower,1955,Republican,-0.05135,2
Dwight D. Eisenhower,1956,Republican,-0.3443,2
Dwight D. Eisenhower,1959,Republican,0.7783,1
Dwight D. Eisenhower,1961,Republican,0.055425000000000016,6
Franklin D. Roosevelt,1941,Democratic,0.8316,1
Franklin D. Roosevelt,1942,Democratic,-0.401375,5
Franklin D. Roosevelt,1943,Democratic,-0.3147875,6
Franklin D. Roosevelt,1944,Democratic,0.9442,1
Franklin D. Roosevelt,1945,Democratic,0.592795,13
Franklin Pierce,1853,Democratic,0.14615,2
George Bush,1989,Republican,-0.1806,2
George W. Bush,2002,Republican,0.5423,1
George W. Bush,2003,Republican,-0.34,1
George W. Bush,2006,Republican,0.6218,1
George W. Bush,2007,Republican,0.1027,1
George W. Bush,2008,Republican,0.936,1
Gerald R. Ford,1975,Republican,0.8271,1
Gerald R. Ford,1976,Republican,0.4215,1
Gerald R. Ford,1977,Republican,0.3612,1
Grover Cleveland,1885,Democratic,0.3192363636363636,14
Grover Cleveland,1886,Democratic,-0.13212500000000002,6
Grover Cleveland,1888,Democratic,0.06227499999999998,6
Grover Cleveland,1893,Democratic,0.467025,4
Grover Cleveland,1894,Democratic,-0.06414,6
Grover Cleveland,1895,Democratic,0.1803,9
Harry S Truman,1946,Democratic,0.43835,4
Harry S Truman,1948,Democratic,0.765,1
Harry S Truman,1951,Democratic,-0.067275,4
Harry S Truman,1952,Democratic,0.128,1
Harry S Truman,1953,Democratic,0.1113857142857143,9
Herbert Hoover,1929,Republican,0.2202,2
Herbert Hoover,1931,Republican,0.9189,2
James Buchanan,1857,Democratic,0.24706666666666666,6
James Buchanan,1858,Democratic,0.25992,5
James Buchanan,1859,Democratic,0.6859444444444445,10
James Buchanan,1860,Democratic,0.618,8
James K. Polk,1845,Democratic,0.23409999999999997,2
James K. Polk,1847,Democratic,-0.2676777777777778,11
James K. Polk,1848,Democratic,0.57165,2
Jimmy Carter,1978,Democratic,0.0,1
Jimmy Carter,1979,Democratic,0.4481357142857143,10
Jimmy Carter,1980,Democratic,0.6549454545454545,17
Jimmy Carter,1981,Democratic,0.4363857142857143,10
John F. Kennedy,1961,Democratic,0.08594999999999997,2
John F. Kennedy,1962,Democratic,0.2732,1
John F. Kennedy,1963,Democratic,-0.5773333333333334,3
John Quincy Adams,1825,Democratic-Republican,-0.0772,1
John Tyler,1843,Whig,-0.0822,3
John Tyler,1844,Whig,0.9331,1
Joseph Biden,2021,Democratic,0.21136,5
Joseph Biden,2022,Democratic,0.22047499999999998,4
Lyndon B. Johnson,1966,Democratic,0.0772,1
Lyndon B. Johnson,1967,Democratic,0.7947,3
Lyndon B. Johnson,1968,Democratic,-0.5344,2
Martin Van Buren,1838,Democratic,0.91,1
Martin Van Buren,1840,Democratic,-0.6597,1
Millard Fillmore,1851,Whig,-0.008133333333333326,3
Millard Fillmore,1852,Whig,0.6834,2
Richard M. Nixon,1970,Republican,0.1531,1
Richard M. Nixon,1972,Republican,0.3982,2
Richard M. Nixon,1974,Republican,-0.2601,5
Ronald Reagan,1981,Republican,0.5106,1
Ronald Reagan,1985,Republican,0.0,1
Ronald Reagan,1988,Republican,0.6249,1
Rutherford B. Hayes,1878,Republican,0.4215,1
Rutherford B. Hayes,1879,Republican,0.7195999999999999,3
Rutherford B. Hayes,1880,Republican,0.6214999999999999,4
Theodore Roosevelt,1901,Republican,0.45625714285714286,20
Theodore Roosevelt,1902,Republican,0.45093333333333335,3
Theodore Roosevelt,1903,Republican,0.4812666666666667,6
Theodore Roosevelt,1904,Republican,0.6109249999999999,6
Theodore Roosevelt,1905,Republican,0.0736,32
Theodore Roosevelt,1907,Republican,0.50425,9
Theodore Roosevelt,1908,Republican,-0.16800666666666667,16
Ulysses S. Grant,1869,Republican,0.462675,4
Ulysses S. Grant,1870,Republican,-0.06318333333333333,6
Ulysses S. Grant,1871,Republican,0.5502,4
Ulysses S. Grant,1872,Republican,0.6302000000000001,4
Ulysses S. Grant,1873,Republican,0.2553,2
Ulysses S. Grant,1874,Republican,0.04707999999999999,5
Ulysses S. Grant,1875,Republican,0.8519,1
William Howard Taft,1909,Republican,0.54413,12
William Howard Taft,1910,Republican,0.3764125,22
William Howard Taft,1911,Republican,0.6976307692307692,20
William Howard Taft,1912,Republican,0.4055600000000001,17
William J. Clinton,1994,Democratic,0.6808,1
William J. Clinton,1997,Democratic,0.23145,7
William J. Clinton,1998,Democratic,0.34,1
William J. Clinton,1999,Democratic,0.6255,5
William J. Clinton,2000,Democratic,0.27314285714285713,9
William McKinley,1898,Republican,0.39448,8
William McKinley,1899,Republican,-0.19992,6
William McKinley,1900,Republican,0.3136657894736843,47
