president,year,party,sentence,sentiment
Donald Trump,2025,,"And above all, China is operating the Panama Canal.",-0.41820404
Donald Trump,2025,,And we didn’t give it to China.,-0.48259503
Joe Biden,2025,,And we’ve pulled ahead of our competition with China.,-0.15769881
Joe Biden,2025,,"And as the land of liberty, America—not China—must lead the world on the development of AI.",0.29573157
Joe Biden,2024,,"And we will not let up on our support for Ukraine, not until Ukraine wins a just and durable peace [based] on the U.N. Charter.</span> <p class=""p1""><span class=""s1"">We also need to uphold our principles as we seek to responsibly manage the competition with China",0.24296096
Joe Biden,2024,,"We stand ready to cooperate on urgent challenges for the good of our people and the people everywhere.</span> <p class=""p1""><span class=""s1"">We recently resumed cooperation with China to stop the flow of deadly synthetic narcotics.",0.66143084
Joe Biden,2024,,"It matters for the people in my country and many others around the world.</span> <p class=""p1""><span class=""s1"">On matters of conviction, the United States is unabashed, pushing back against unfair economic competition and against military coercion of other nations in the South China Sea, in maintaining peace and stability across the Taiwan Straits, in protecting our most advanced technologies so they cannot be used against us or any of our partners.&nbsp;</span> <p class=""p1""><span class=""s1"">At the same time, we’re going to continue to strengthen our network of alliances and partnerships across the Indo-Pacific.",0.42488456
Joe Biden,2024,,"And I’ll keep doing the same for our allies in the Pacific.</span><br><span class=""s1"">&nbsp;</span><br><span class=""s1"">You know, when I came to office, the conventional wisdom was that China would inevitably surpass the United States.",-0.23324579
Barack Obama,2017,,"Rivals like Russia or China cannot match our influence around the world, unless we give up what we stand for and turn ourselves into just another big country that bullies smaller neighbors.",-0.79592144
Ronald Reagan,1981,,But the momentum of the continuing Soviet military buildup threatens both the conventional and the nuclear balance.,-0.5516554
Lyndon B. Johnson,1967,,"For you to renounce your position of leadership in Asia is to allow the Red Chinese to gobble up all of Asia.""",-0.74344534
John F. Kennedy,1963,,"The reason that we moved so far into the world was our fear that at the end of the war, and particularly when China became Communist, that Japan and Germany would collapse, and these two countries which had so long served as a barrier to the Soviet advance, and the Russian advance before that, would open up a wave of conquest of all of Europe and all of Asia, and then the balance of power turning against us we would finally be isolated and ultimately destroyed.",-0.63177544
John F. Kennedy,1963,,"For that reason we support the alliances in Latin America; for that reason we support NATO to protect the security of Western Europe; for that reason we joined SEATO to protect the security of Asia—so that neither Russia nor China could control Europe and Asia, and if they could not control Europe and Asia, then our security was assured.",0.28712994
Franklin D. Roosevelt,1940,,In Asia the Japanese are being engaged by the Chinese nation in another great defense.,0.16235316
Abraham Lincoln,1864,,"The rebellion which has so long been flagrant in China has at last been suppressed, with the cooperating good offices of this Government and of the other Western commercial States.",-0.16450563
Abraham Lincoln,1864,,China seems to be accepting with hearty good will the conventional laws which regulate commercial and social intercourse among the Western nations.,0.5369509
Abraham Lincoln,1862,,"Very favorable relations also continue to be maintained with Turkey, Morocco, China, and Japan.",0.8506987
John Tyler,1843,,"Under the provisions of an act of Congress of the last session a minister was dispatched from the United States to China in August of the present year, who, from the latest accounts we have from him, was at Suez, in Egypt, on the 25th of September last, on his route to China.",-0.011136932
John Tyler,1843,,"It gives me great pain to announce to you the loss of the steamship the Missouri by fire in the Bay of Gibraltar, where she had stopped to renew her supplies of coal on her voyage to Alexandria, with Mr. Cushing, the American minister to China, on board.",-0.61339587
John Tyler,1842,,Events of considerable importance have recently transpired in China.,0.3866601
John Tyler,1842,,"It can not but be interesting to the mercantile interest of the United States, whose intercourse with China at the single port of Canton has already become so considerable, to ascertain whether these other ports now open to British commerce are to remain shut, nevertheless, against the commerce of the United States.",0.0026723295
John Tyler,1842,,The treaty between the Chinese Government and the British commissioner provides neither for the admission nor the exclusion of the ships of other nations.,-0.12861244
John Tyler,1842,,"It would seem, therefore, that it remains with every other nation having commercial intercourse with China to seek to make proper arrangements for itself with the Government of that Empire in this respect.",-0.018581163
John Tyler,1842,,"The importations into the United States from China are known to be large, having amounted in some years, as will be seen by the annexed tables, to $9,000,000.",0.08211934
John Tyler,1842,,"The exports, too, from the United States to China constitute an interesting and growing part of the commerce of the country.",0.9103697
John Tyler,1842,,"But the whole amount of American produce which finally reaches China and is there consumed is not comprised in these tables, which show only the direct trade.",-0.26103723
John Tyler,1842,,The peculiarities of the Chinese Government and the Chinese character are well known.,-0.17340378
John Tyler,1842,,Events appear likely to break down and soften this spirit of nonintercourse and to bring China ere long into the relations which usually subsist between civilized states.,0.07785535
John Tyler,1842,,"It is true that the cheapness of labor among the Chinese, their ingenuity in its application, and the fixed character of their habits and pursuits may discourage the hope of the opening of any great and sudden demand for the fabrics of other countries.",-0.39854813
John Tyler,1842,,"But experience proves that the productions of western nations find a market to some extent among the Chinese; that that market, so far as respects the productions of the United States, although it has considerably varied in successive seasons, has on the whole more than doubled within the last ten years; and it can hardly be doubted that the opening of several new and important ports connected with parts of the Empire heretofore seldom visited by Europeans or Americans would exercise a favorable influence upon the demand for such productions.",0.34298292
John Tyler,1842,,"It is not understood that the immediate establishment of correspondent embassies and missions or the permanent residence of diplomatic functionaries with full powers of each country at the Court of the other is contemplated between England and China, although, as has been already observed, it has been stipulated that intercourse between the two countries shall hereafter be on equal terms.",-0.093920335
John Tyler,1842,,"Being of opinion, however, that the commercial interests of the United States connected with China require at the present moment a degree of attention and vigilance such as there is no agent of this Government on the spot to bestow, I recommend to Congress to make appropriation for the compensation of a commissioner to reside in China to exercise a watchful care over the concerns of American citizens and for the protection of their persons and property, empowered to hold intercourse with the local authorities, and ready, under instructions from his Government, should such instructions become necessary and proper hereafter, to address himself to the high functionaries of the Empire, or through them to the Emperor himself.",-0.025060754
Joe Biden,2023,,"Before I came to office, the story was about how the People’s Republic of China was increasing its power and America was falling in the world.",-0.3085749
Joe Biden,2023,,"Investing in American innovation, in industries that will define the future, and that China’s government is intent on dominating.",0.24910565
Joe Biden,2023,,"Today, we’re in the strongest position in decades to compete with China or anyone else in the world.",0.9104116
Joe Biden,2023,,I am committed to work with China where it can advance American interests and benefit the world.,0.73439884
Joe Biden,2023,,"But make no mistake: as we made clear last week, if China’s threatens our sovereignty, we will act to protect our country.",-0.22607382
Joe Biden,2023,,And let’s be clear: winning the competition with China should unite all of us.,0.5729522
Joe Biden,2022,,Let me be direct about the competition between the United States and China.,-0.10891791
Joe Biden,2022,,We seek to uphold peace and stability across the Taiwan Straits.,0.4924393
Joe Biden,2022,,"We remain committed to our One China policy, which has helped prevent conflict for four decades.",0.7125403
Joe Biden,2022,,"China is conducting an unprecedented, concerning nuclear buildup without any transparency.",-0.24286264
Joe Biden,2022,,"And yet today, in 2022, fundamental freedoms are at risk in every part of our world, from the violations of—in Xinjiang detailed in recent reports by the Office of U.N.—U.S.—reports detailing by the U.S.",-0.7959357
Joe Biden,2022,,It is going to transform America and put us on a path to win the economic competition of the 21st Century that we face with the rest of the world—particularly with China.,0.7077248
Joe Biden,2022,,"As I’ve told Xi Jinping, it is never a good bet to bet against the American people.",-0.49166358
Joe Biden,2022,,"But to compete for the best jobs of the future, we also need to level the playing field with China and other competitors.",0.30469853
Joe Biden,2022,,Are you urging China to help isolate Russia?,-0.14750616
Joe Biden,2022,,Are you urging China to help isolate Russia?,-0.14750616
Joe Biden,2022,,"From China to Russia and beyond, they’re betting that democracy’s days are numbered.",-0.75199157
Joe Biden,2021,,"We’ve risked losing our edge as a nation, and China and the rest of the world are catching up.",-0.5830106
Joe Biden,2021,,"For example, because of this law, next year will be the first year in 20 years American infrastructure investment will grow faster than China’s.",0.7449595
Joe Biden,2021,,"When I met with the President of China — who I’m going to be speaking with tonight — several years ago, he asked me — we were in China — he asked me — he said: Could I define America?",-0.09047513
Joe Biden,2021,,"We’re proud to have donated nearly 140 million vaccines over 90 countries, more than all other countries combined, including Europe, China, and Russia combined.",0.9579143
Joe Biden,2021,,We’re engaged in a serious competition with China.,-0.29457477
Joe Biden,2021,,"And there’s nothing China or Russia would rather have, would want more in this competition than the United States to be bogged down another decade in Afghanistan.",-0.6157786
Joe Biden,2021,,And our true strategic competitors—China and Russia—would love nothing more than the United States to continue to funnel billions of dollars in resources and attention into stabilizing Afghanistan indefinitely.,-0.20461945
Joe Biden,2021,,And we also need to focus on shoring up America’s core strengths to meet the strategic competition with China and other nations that is really going to determine—determine our future.,0.0964343
Joe Biden,2021,,We’re in competition with China and other countries to win the 21st Century.,-0.16570711
Joe Biden,2021,,"Look, but think about it: There is simply no reason why the blades for wind turbines can’t be built in Pittsburgh instead of Beijing.",-0.38118157
Joe Biden,2021,,China and other countries are closing in fast.,-0.21270028
Joe Biden,2021,,"I kept my commitment to convene a climate summit right here in America with all of the major economies of the world—China, Russia, India, the European Union—and I said I’d do it in my first 100 days.",0.69197845
Joe Biden,2021,,"That means making sure every nation plays by the same rules in the global economy, including China.",0.10943475
Joe Biden,2021,,"It will grow the economy, make us more competitive around the world, promote our national security interests, and put us in a position to win the global competition with China in the upcoming years.",0.8759382
