President,Year,Party,Role,Intelligence Leader,Publication Title,Sentence,Sentiment
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Furthermore, changing political situations have opened up new sources of minerals in Eurasia and China.",0.33116248
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"In February the six countries with fishing fleets that operate there--China, Japan, Poland, Russia, South Korea, and the United States--met in Washington to address the problem.",-0.025376342
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,They agreed to a moratorium on pollock fishing in the Donut Hole while they crafted an arrangement that would help them jointly conserve and manage this fishery.,0.3062401
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"As in the Donut Hole, the five countries involved--China, Japan, Poland, Russia, and South Korea--are observing a moratorium on fishing for pollock in the Peanut Hole, but they have not yet agreed on how to share the resource once the stocks recover.",-0.2098449
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,China will probably ratify the Convention but appears to be waiting until the other major countries do so.,0.090679966
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Wary about China's power and intentions in the South China Sea, the ASEAN countries have been hoping that widespread acceptance of the Convention, which facilitates the peaceful resolution of maritime disputes, will help establish a climate in which the conflicting claims of sovereignty in the Spratly Islands can be peacefully--and equitably--resolved.",0.3864539
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,Contention in the South China Sea Sovereignty over the islands and waters of the South China Sea has been disputed by regional claimants for decades.,-0.50893605
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"At the center of the disputes lie the Spratly Islands, a group of islands, islets, reefs, atolls, and cays in the southern part of the South China Sea, near strategic sea lanes and lines of communication between the Indian and Pacific Oceans.",-0.3897412
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Oil Discoveries Raise the Stakes In , interest in the Spratlys intensified after a UN-sponsored seismic survey suggested the presence of extensive deposits of oil and gas under the South China Sea.",0.09484595
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,Vietnam and China (as well as Taiwan) claim sovereignty over the entire Spratly archipelago; the Philippines claims a substantial part of it; Malaysia and Brunei claim much smaller parts.,-0.06501092
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Most were built by Malaysia, the Philippines, and-- especially--Vietnam in the early and mid- s.(a)In , China adopted a much more assertive approach toward the Spratlys by occupying six reefs, resulting in a brief clash with Vietnamese naval forces and prompting Hanoi to expand and reinforce its outposts.",-0.13159275
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,Efforts To Reduce Tensions China has been trying to deal with each of the other claimants on a bilateral basis.,-0.021533567
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"All of the claimants except China, however, belong to the Association of Southeast Asian Nations (ASEAN) and would rather deal with China as a bloc than individually.",-0.13856995
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Since , Indonesia has hosted a series of informal ""workshops"" for all rival South China Sea claimants as part of an ASEAN effort to reduce regional tension and peacefully resolve conflicting claims.",0.07698903
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Officials and scholars from China, Taiwan, and Southeast Asian countries participated in the sixth such workshop, which ended in October .",0.052959044
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"They did agree, however, to participate in a study of biodiversity in the South China Sea and to cooperate on marine legal and scientific research and on navigation and shipping safety issues.",0.36564678
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,"Indeed, the Agreement contains a provision to the effect that, unless seven of the pioneer seabed mining investor states, including five developed countries, ratify the LOS Convention by November , that is, within four years after it went into effect, the seabed mining provisions will revert to the Convention's original text: The developed countries registered as pioneer investors are Belgium, Canada, France, Germany, Japan, Italy, Netherlands, Russia, the United Kingdom, and the United States; the other four pioneer investors were China, India, Poland (fronting for Eastern Europe), and South Korea.",0.01142833
Bill Clinton,1996,Democratic,Director of Central Intelligence (DCI),John M. Deutch,1996: Law of the Sea: The End Game,States Taking the Steps Needed To Become Parties Angola Kenya Belgium Antigua and Barbuda Kuwait Canada Argentina Lebanon Chile Australia Mali China Austria Malta Denmark,0.00084974617
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"In some instances, such as the continued evolution in Russia or the growing potential of China, the level of uncertainty is higher because of the many key factors--domestic and international--at play.",-0.37505153
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"That said, some states will insist on the trappings of sovereignty--as in Russia or China; others will insist that these new forces will not alter their national agendas--as in North Korea or Cuba--or their regional ambitions--as in Iraq or Iran.",-0.11105502
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Growing populations and per capita income will drive the demand for more energy, particularly as the Chinese and Indian economies expand.",0.33359912
