"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-118jhrg56796","CHRG-118jhrg56796","Bringing Home Americans Detained in China","https://www.govinfo.gov/app/details/CHRG-118jhrg56796/CHRG-118jhrg56796","https://www.govinfo.gov/content/pkg/CHRG-118jhrg56796/pdf/CHRG-118jhrg56796.pdf","6.3 MB","https://www.govinfo.gov/content/pkg/CHRG-118jhrg56796/html/CHRG-118jhrg56796.htm","253.4 KB","","0 B","","0 B","","0 B"," SEPTEMBER 18, 2024 Printed for the use of the Congressional-Executive Commission on China [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available at www.cecc.gov or www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 56-796 PDF WASHINGTON : 2025 CONGRESSIONAL-EXECUTIVE COMMISSION ON CHINA LEGISLATIVE BRANCH COMMISSIONERS House Senate CHRISTOPHER SMITH, ...","","2024-09-18"
"2","Congressional Hearings","CHRG-118hhrg55708","CHRG-118hhrg55708","Red Alert: Countering the Cyberthreat from China","https://www.govinfo.gov/app/details/CHRG-118hhrg55708/CHRG-118hhrg55708","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55708/pdf/CHRG-118hhrg55708.pdf","177.4 KB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55708/html/CHRG-118hhrg55708.htm","78.9 KB","","0 B","","0 B","","0 B","of the COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION MAY 15, 2024 Serial No. 118-108 Printed for the use of the Committee on Oversight and Accountability [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available on: govinfo.gov oversight.house.gov or docs.house.gov _______ U.S. ...","","2024-05-15"
"3","Congressional Hearings","CHRG-118hhrg56421","CHRG-118hhrg56421","The Danger China Poses to American Agriculture","https://www.govinfo.gov/app/details/CHRG-118hhrg56421/CHRG-118hhrg56421","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56421/pdf/CHRG-118hhrg56421.pdf","11.0 MB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56421/html/CHRG-118hhrg56421.htm","639.7 KB","","0 B","","0 B","","0 B"," SESSION MARCH 20, 2024 Serial No. 118-21 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Agriculture agriculture.house.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 56-421PDF WASHINGTON : 2024 COMMITTEE ON AGRICULTURE GLENN THOMPSON, Pennsylvania, Chairman FRANK D. LUCAS, Oklahoma DAVID SCOTT, Georgia, Ranking...","","2024-03-20"
"4","Congressional Hearings","CHRG-118hhrg55020","CHRG-118hhrg55020","Made in China: Is GSA Complying with Purchasing Restrictions?","https://www.govinfo.gov/app/details/CHRG-118hhrg55020/CHRG-118hhrg55020","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55020/pdf/CHRG-118hhrg55020.pdf","158.1 KB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55020/html/CHRG-118hhrg55020.htm","51.3 KB","","0 B","","0 B","","0 B"," INNOVATION of the COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION FEBRUARY 29, 2024 Serial No. 118-91 Printed for the use of the Committee on Oversight and Accountability [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available on: govinfo.gov oversight.house.gov or docs.house.gov ...","","2024-02-29"
"5","Congressional Hearings","CHRG-118hhrg57831","CHRG-118hhrg57831","IP and Strategic Competition with China: Part Iv_patents, Standards, and Lawfare","https://www.govinfo.gov/app/details/CHRG-118hhrg57831/CHRG-118hhrg57831","https://www.govinfo.gov/content/pkg/CHRG-118hhrg57831/pdf/CHRG-118hhrg57831.pdf","3.9 MB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg57831/html/CHRG-118hhrg57831.htm","101.8 KB","","0 B","","0 B","","0 B"," THE INTERNET OF THE COMMITTEE ON THE JUDICIARY U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION WEDNESDAY, DECEMBER 18, 2024 Serial No. 118-105 Printed for the use of the Committee on the Judiciary GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT Available via: http://judiciary.house.gov _______ U.S. GOVERNMENT PUBLISHING ...","","2024-12-18"
"6","Congressional Hearings","CHRG-118hhrg55922","CHRG-118hhrg55922","Examining the Flow of U.S. Money into China's Military Might","https://www.govinfo.gov/app/details/CHRG-118hhrg55922/CHRG-118hhrg55922","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55922/pdf/CHRG-118hhrg55922.pdf","7.0 MB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55922/html/CHRG-118hhrg55922.htm","139.5 KB","","0 B","","0 B","","0 B"," CONGRESS SECOND SESSION JANUARY 17, 2024 Serial No. 118-76 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 55-922PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN ...","","2024-01-17"
"7","Congressional Hearings","CHRG-118jhrg55894","CHRG-118jhrg55894","Tiananmen at 35: The Ongoing Struggle for Human Rights and Democracy in China","https://www.govinfo.gov/app/details/CHRG-118jhrg55894/CHRG-118jhrg55894","https://www.govinfo.gov/content/pkg/CHRG-118jhrg55894/pdf/CHRG-118jhrg55894.pdf","668.5 KB","https://www.govinfo.gov/content/pkg/CHRG-118jhrg55894/html/CHRG-118jhrg55894.htm","182.4 KB","","0 B","","0 B","","0 B"," EIGHTEENTH CONGRESS SECOND SESSION JUNE 4, 2024 Printed for the use of the Congressional-Executive Commission on China [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available at www.cecc.gov or www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 55-894 PDF WASHINGTON : 2024 CONGRESSIONAL-EXECUTIVE COMMISSION ON CHINA LEGISLATIVE BRANCH COMMISSIONERS ...","","2024-06-04"
"8","Congressional Hearings","CHRG-118hhrg57565","CHRG-118hhrg57565","H.A.S.C. No. 118-54]  Outpacing China:  Expediting The Field of Innovation","https://www.govinfo.gov/app/details/CHRG-118hhrg57565/CHRG-118hhrg57565","https://www.govinfo.gov/content/pkg/CHRG-118hhrg57565/pdf/CHRG-118hhrg57565.pdf","2.9 MB","https://www.govinfo.gov/content/pkg/CHRG-118hhrg57565/html/CHRG-118hhrg57565.htm","973.0 B","","0 B","","0 B","","0 B"," SERVICES HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION HEARING HELD FEBRUARY 15, 2024 (II) COMMITTEE ON ARMED SERVICES ONE HUNDRED EIGHTEENTH CONGRESS MIKE ROGERS, Alabama, Chairman JOE WILSON, South Carolina MICHAEL R. TURNER, Ohio DOUG LAMBORN, Colorado ROBERT J. WITTMAN, Virginia, Vice Chair AUSTIN SCOTT, Georgia ...","","2024-02-15"
"9","Congressional Hearings","CHRG-118jhrg57950","CHRG-118jhrg57950","The Preservation of Memory: Combating the Ccp's Historical Revisionism and Erasure of Culture","https://www.govinfo.gov/app/details/CHRG-118jhrg57950/CHRG-118jhrg57950","https://www.govinfo.gov/content/pkg/CHRG-118jhrg57950/pdf/CHRG-118jhrg57950.pdf","723.3 KB","https://www.govinfo.gov/content/pkg/CHRG-118jhrg57950/html/CHRG-118jhrg57950.htm","217.5 KB","","0 B","","0 B","","0 B"," CHINA ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION DECEMBER 5, 2024 Printed for the use of the Congressional-Executive Commission on China [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available at www.cecc.gov or www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 57-950 PDF WASHINGTON : 2025 CONGRESSIONAL-EXECUTIVE COMMISSION ON CHINA LEGISLATIVE ...","","2024-12-05"
"10","Congressional Hearings","CHRG-118jhrg55350","CHRG-118jhrg55350","Stopping the Crime of Organ Harvesting -- What More Must Be Done?","https://www.govinfo.gov/app/details/CHRG-118jhrg55350/CHRG-118jhrg55350","https://www.govinfo.gov/content/pkg/CHRG-118jhrg55350/pdf/CHRG-118jhrg55350.pdf","14.4 MB","https://www.govinfo.gov/content/pkg/CHRG-118jhrg55350/html/CHRG-118jhrg55350.htm","168.3 KB","","0 B","","0 B","","0 B","CONGRESS SECOND SESSION MARCH 20, 2024 Printed for the use of the Congressional-Executive Commission on China [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available at www.cecc.gov or www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 55-350 WASHINGTON : 2024 CONGRESSIONAL-EXECUTIVE COMMISSION ON CHINA LEGISLATIVE BRANCH COMMISSIONERS House ...","","2024-03-20"
