"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-119shrg59774","CHRG-119shrg59774","The Malign Influence of the People's Republic of China at Home and Abroad: Recommendations for Policy Makers","https://www.govinfo.gov/app/details/CHRG-119shrg59774/CHRG-119shrg59774","https://www.govinfo.gov/content/pkg/CHRG-119shrg59774/pdf/CHRG-119shrg59774.pdf","20.2 MB","https://www.govinfo.gov/content/pkg/CHRG-119shrg59774/html/CHRG-119shrg59774.htm","220.9 KB","","0 B","","0 B","","0 B"," ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION JANUARY 30, 2025 Printed for the use of the Committee on Foreign Relations [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 59-774 PDF WASHINGTON : 2025 COMMITTEE ON FOREIGN RELATIONS JAMES E. ...","","2025-01-30"
"2","Congressional Hearings","CHRG-119hhrg60092","CHRG-119hhrg60092","Missed Milestones: Evaluating the Last Four Years in the Eap Region and Unseized Opportunities Under President Trump","https://www.govinfo.gov/app/details/CHRG-119hhrg60092/CHRG-119hhrg60092","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60092/pdf/CHRG-119hhrg60092.pdf","12.7 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60092/html/CHRG-119hhrg60092.htm","98.3 KB","","0 B","","0 B","","0 B","ON EAST ASIA AND PACIFIC OF THE COMMITTEE ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION February 25, 2025 Serial No. 119-2 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://...","","2025-02-25"
"3","Congressional Hearings","CHRG-119hhrg60692","CHRG-119hhrg60692","Examining the PRC's Strategic Port in- Vestments in the Western Hemisphere and the Implications for Homeland Security, Part I","https://www.govinfo.gov/app/details/CHRG-119hhrg60692/CHRG-119hhrg60692","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60692/pdf/CHRG-119hhrg60692.pdf","6.0 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60692/html/CHRG-119hhrg60692.htm","156.7 KB","","0 B","","0 B","","0 B"," ON TRANSPORTATION AND MARITIME SECURITY of the COMMITTEE ON HOMELAND SECURITY HOUSE OF REPRESENTATIVES ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION FEBRUARY 11, 2025 Serial No. 119-3 Printed for the use of the Committee on Homeland Security [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ...","","2025-02-11"
"4","Congressional Hearings","CHRG-119shrg60032","CHRG-119shrg60032","Advancing American Interests in the Western Hemisphere","https://www.govinfo.gov/app/details/CHRG-119shrg60032/CHRG-119shrg60032","https://www.govinfo.gov/content/pkg/CHRG-119shrg60032/pdf/CHRG-119shrg60032.pdf","384.2 KB","https://www.govinfo.gov/content/pkg/CHRG-119shrg60032/html/CHRG-119shrg60032.htm","170.9 KB","","0 B","","0 B","","0 B"," NINETEENTH CONGRESS FIRST SESSION MARCH 5, 2025 Printed for the use of the Committee on Foreign Relations [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 60-032 PDF WASHINGTON : 2025 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman PETE RICKETTS, Nebraska JEANNE SHAHEEN...","","2025-03-05"
"5","Congressional Hearings","CHRG-119shrg60494","CHRG-119shrg60494","Financial Aggression: How the Chinese Communist Party Exploits American Retirees and Undermines National Security","https://www.govinfo.gov/app/details/CHRG-119shrg60494/CHRG-119shrg60494","https://www.govinfo.gov/content/pkg/CHRG-119shrg60494/pdf/CHRG-119shrg60494.pdf","3.6 MB","https://www.govinfo.gov/content/pkg/CHRG-119shrg60494/html/CHRG-119shrg60494.htm","187.2 KB","","0 B","","0 B","","0 B"," THE SPECIAL COMMITTEE ON AGING AND THE U.S. HOUSE SELECT COMMITTEE ON THE CHINESE COMMUNIST PARTY UNITED STATES SENATE ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION WASHINGTON, DC APRIL 9, 2025 Serial No. 119-06 Printed for the use of the Special Committee on Aging [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://...","","2025-04-09"
"6","Congressional Hearings","CHRG-118shrg55290","CHRG-118shrg55290","Commerce, Justice, Science, and Related Agencies Appropriations for Fiscal Year 2025","https://www.govinfo.gov/app/details/CHRG-118shrg55290/CHRG-118shrg55290","https://www.govinfo.gov/content/pkg/CHRG-118shrg55290/pdf/CHRG-118shrg55290.pdf","1.2 MB","https://www.govinfo.gov/content/pkg/CHRG-118shrg55290/html/CHRG-118shrg55290.htm","1.6 MB","","0 B","","0 B","","0 B","ON APPROPRIATIONS UNITED STATES SENATE ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION on H.R. 9026/S. 4795 AN ACT MAKING APPROPRIATIONS FOR THE DEPARTMENTS OF COMMERCE AND JUSTICE, AND SCIENCE, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2025, AND FOR OTHER PURPOSES Department of Commerce Department of Justice Federal Bureau of ...","","2025-09-30"
"7","Congressional Hearings","CHRG-119hhrg60388","CHRG-119hhrg60388","Metals, Minerals, and Mining: How the Ccp Fuels Conflict and Exploitation in Africa","https://www.govinfo.gov/app/details/CHRG-119hhrg60388/CHRG-119hhrg60388","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60388/pdf/CHRG-119hhrg60388.pdf","10.8 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60388/html/CHRG-119hhrg60388.htm","148.7 KB","","0 B","","0 B","","0 B"," ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION March 25, 2025 Serial No. 119-7 Printed for the use of the Committee on Foreign Affairs Available: http://www.foreignaffairs.house.gov, http://docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 60-388 PDF WASHINGTON : 2025...","","2025-03-25"
"8","Congressional Hearings","CHRG-119hhrg60454","CHRG-119hhrg60454","A Return to Maximum Pressure: Comprehensively Countering the Iranian Regime's Malign Activities Regime's Malign Activities","https://www.govinfo.gov/app/details/CHRG-119hhrg60454/CHRG-119hhrg60454","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60454/pdf/CHRG-119hhrg60454.pdf","10.3 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg60454/html/CHRG-119hhrg60454.htm","158.7 KB","","0 B","","0 B","","0 B"," ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION April 1, 2025 Serial No. 119-10 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov, http://docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING...","","2025-04-01"
"9","Congressional Hearings","CHRG-119hhrg58754","CHRG-119hhrg58754","Now Ore Never: The Importance of Domestic Mining for U.S. National Security","https://www.govinfo.gov/app/details/CHRG-119hhrg58754/CHRG-119hhrg58754","https://www.govinfo.gov/content/pkg/CHRG-119hhrg58754/pdf/CHRG-119hhrg58754.pdf","1.5 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg58754/html/CHRG-119hhrg58754.htm","292.9 KB","","0 B","","0 B","","0 B"," of the COMMITTEE ON NATURAL RESOURCES U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION Thursday, February 6, 2025 Serial No. 119-4 Printed for the use of the Committee on Natural Resources [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov or Committee address: http://...","","2025-02-06"
"10","Congressional Hearings","CHRG-119hhrg59906","CHRG-119hhrg59906","Artificial Intelligence: Examining Trends in Innovation and Competition","https://www.govinfo.gov/app/details/CHRG-119hhrg59906/CHRG-119hhrg59906","https://www.govinfo.gov/content/pkg/CHRG-119hhrg59906/pdf/CHRG-119hhrg59906.pdf","14.6 MB","https://www.govinfo.gov/content/pkg/CHRG-119hhrg59906/html/CHRG-119hhrg59906.htm","117.5 KB","","0 B","","0 B","","0 B",", AND ANTITRUST COMMITTEE ON THE JUDICIARY U.S. HOUSE OF REPRESENTATIVES ONE HUNDRED NINETEENTH CONGRESS FIRST SESSION WEDNESDAY, APRIL 2, 2025 Serial No. 119-13 Printed for the use of the Committee on the Judiciary [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via: http://judiciary.house.gov U.S. GOVERNMENT PUBLISHING OFFICE 59-906 WASHINGTON ...","","2025-04-02"
