Congress,Congress Start Date,Congress End Date,House Majority,Senate Majority,President,President Start Date,President End Date,Presidential Party,Party Government
54th session,3/4/1895,3/3/1897,Republicans,Republicans,Grover Cleveland,3/4/1885,3/3/1889,Democrat,Divided
55th session,3/4/1897,3/3/1899,Republicans,Republicans,William McKinley,3/4/1897,9/14/1901,Republican,Unified
56th session,3/4/1899,3/3/1901,Republicans,Republicans,William McKinley,3/4/1897,9/14/1901,Republican,Unified
57th session,3/4/1901,3/3/1903,Republicans,Republicans,McKinley / T. Roosevelt,,,Republican,Unified
58th session,3/4/1903,3/3/1905,Republicans,Republicans,Theodore Roosevelt,9/14/1901,3/3/1909,Republican,Unified
59th session,3/4/1905,3/3/1907,Republicans,Republicans,Theodore Roosevelt,9/14/1901,3/3/1909,Republican,Unified
60th session,3/4/1907,3/3/1909,Republicans,Republicans,Theodore Roosevelt,9/14/1901,3/3/1909,Republican,Unified
61st session,3/4/1909,3/3/1911,Republicans,Republicans,William H. Taft,3/4/1909,3/3/1913,Republican,Unified
62nd session,3/4/1911,3/3/1913,Democrats,Republicans,William H. Taft,3/4/1909,3/3/1913,Republican,Divided
63rd session,3/4/1913,3/3/1915,Democrats,Democrats,Woodrow Wilson,3/4/1913,3/3/1921,Democrat,Unified
64th session,3/4/1915,3/3/1917,Democrats,Democrats,Woodrow Wilson,3/4/1913,3/3/1921,Democrat,Unified
65th session,3/4/1917,3/3/1919,Democrats,Democrats,Woodrow Wilson,3/4/1913,3/3/1921,Democrat,Unified
66th session,3/4/1919,3/3/1921,Republicans,Republicans,Woodrow Wilson,3/4/1913,3/3/1921,Democrat,Divided
67th session,3/4/1921,3/3/1923,Republicans,Republicans,Warren G. Harding,3/4/1921,8/2/1923,Republican,Unified
68th session,3/4/1923,3/3/1925,Republicans,Republicans,Harding / Coolidge,,,Republican,Unified
69th session,3/4/1925,3/3/1927,Republicans,Republicans,Calvin Coolidge,8/3/1923,3/3/1929,Republican,Unified
70th session,3/4/1927,3/3/1929,Republicans,Republicans,Calvin Coolidge,8/3/1923,3/3/1929,Republican,Unified
71st session,3/4/1929,3/3/1931,Republicans,Republicans,Herbert Hoover,3/4/1929,3/3/1933,Republican,Unified
72nd session,3/4/1931,3/3/1933,Democrats,Republicans,Herbert Hoover,3/4/1929,3/3/1933,Republican,Divided
73rd session,3/4/1933,1/3/1935,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
74th session,1/3/1935,1/3/1937,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
75th session,1/3/1937,1/3/1939,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
76th session,1/3/1939,1/3/1941,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
77th session,1/3/1941,1/3/1943,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
78th session,1/3/1943,1/3/1945,Democrats,Democrats,Franklin D. Roosevelt,3/4/1933,4/12/1945,Democrat,Unified
79th session,1/3/1945,1/3/1947,Democrats,Democrats,F. Roosevelt / Truman,,,Democrat,Unified
80th session,1/3/1947,1/3/1949,Republicans,Republicans,Harry S. Truman,4/12/1945,1/20/1953,Democrat,Divided
81st session,1/3/1949,1/3/1951,Democrats,Democrats,Harry S. Truman,4/12/1945,1/20/1953,Democrat,Unified
82nd session,1/3/1951,1/3/1953,Democrats,Democrats,Harry S. Truman,4/12/1945,1/20/1953,Democrat,Unified
83rd session,1/3/1953,1/3/1955,Republicans,Republicans,Dwight D. Eisenhower,1/20/1953,1/20/1961,Republican,Unified
84th session,1/3/1955,1/3/1957,Democrats,Democrats,Dwight D. Eisenhower,1/20/1953,1/20/1961,Republican,Divided
85th session,1/3/1957,1/3/1959,Democrats,Democrats,Dwight D. Eisenhower,1/20/1953,1/20/1961,Republican,Divided
86th session,1/3/1959,1/3/1961,Democrats,Democrats,Dwight D. Eisenhower,1/20/1953,1/20/1961,Republican,Divided
87th session,1/3/1961,1/3/1963,Democrats,Democrats,John F. Kennedy,1/20/1961,11/22/1963,Democrat,Unified
88th session,1/3/1963,1/3/1965,Democrats,Democrats,Kennedy / L. Johnson,,,Democrat,Unified
89th session,1/3/1965,1/3/1967,Democrats,Democrats,Lyndon B. Johnson,11/22/1963,1/20/1969,Democrat,Unified
90th session,1/3/1967,1/3/1969,Democrats,Democrats,Lyndon B. Johnson,11/22/1963,1/20/1969,Democrat,Unified
91st session,1/3/1969,1/3/1971,Democrats,Democrats,Richard M. Nixon,1/20/1969,8/9/1974,Republican,Divided
92nd session,1/3/1971,1/3/1973,Democrats,Democrats,Richard M. Nixon,1/20/1969,8/9/1974,Republican,Divided
93rd session,1/3/1973,1/3/1975,Democrats,Democrats,Nixon / Ford,,,Republican,Divided
94th session,1/3/1975,1/3/1977,Democrats,Democrats,Gerald R. Ford,8/9/1974,1/20/1977,Republican,Divided
95th session,1/3/1977,1/3/1979,Democrats,Democrats,James Earl “Jimmy” Carter,1/20/1977,1/20/1981,Democrat,Unified
96th session,1/3/1979,1/3/1981,Democrats,Democrats,James Earl “Jimmy” Carter,1/20/1977,1/20/1981,Democrat,Unified
97th session,1/3/1981,1/3/1983,Democrats,Republicans,Ronald Reagan,1/20/1981,1/20/1989,Republican,Divided
98th session,1/3/1983,1/3/1985,Democrats,Republicans,Ronald Reagan,1/20/1981,1/20/1989,Republican,Divided
99th session,1/3/1985,1/3/1987,Democrats,Republicans,Ronald Reagan,1/20/1981,1/20/1989,Republican,Divided
100th session,1/3/1987,1/3/1989,Democrats,Democrats,Ronald Reagan,1/20/1981,1/20/1989,Republican,Divided
101st session,1/3/1989,1/3/1991,Democrats,Democrats,George H.W. Bush,1/20/1989,1/20/1993,Republican,Divided
