president,year,party,china_sentiment,china_mention_count
Abraham Lincoln,1861,Republican,0.16583333333333333,2
Abraham Lincoln,1862,Republican,0.2,1
Abraham Lincoln,1863,Republican,-0.030555555555555558,1
Abraham Lincoln,1864,Republican,0.10279761904761904,2
Andrew Jackson,1831,Democratic,-0.25,1
Andrew Johnson,1865,Republican,0.2916666666666667,1
Andrew Johnson,1867,Republican,0.19298701298701298,1
Andrew Johnson,1868,Republican,0.15,1
Barack Obama,2009,Democratic,0.0,1
Barack Obama,2010,Democratic,0.12575757575757576,2
Barack Obama,2011,Democratic,0.15454545454545454,4
Barack Obama,2012,Democratic,-0.07095238095238096,5
Barack Obama,2013,Democratic,0.15833333333333335,1
Barack Obama,2014,Democratic,0.17045454545454544,2
Barack Obama,2015,Democratic,0.125,4
Barack Obama,2016,Democratic,0.1361111111111111,3
Benjamin Harrison,1889,Republican,0.202452380952381,5
Benjamin Harrison,1890,Republican,0.09557823129251702,4
Benjamin Harrison,1891,Republican,0.04713955026455027,15
Benjamin Harrison,1892,Republican,0.013492063492063491,3
Calvin Coolidge,1925,Republican,0.06999999999999999,2
Calvin Coolidge,1926,Republican,0.012096560846560847,14
Calvin Coolidge,1927,Republican,0.1,2
Calvin Coolidge,1928,Republican,0.08571428571428572,3
Chester A. Arthur,1881,Republican,0.03200000000000001,6
Chester A. Arthur,1882,Republican,0.02397186147186147,5
Chester A. Arthur,1883,Republican,0.1353174603174603,8
Chester A. Arthur,1884,Republican,0.03208808198604117,7
Donald Trump,2017,Republican,0.5,1
Donald Trump,2018,Republican,0.0,3
Donald Trump,2019,Republican,0.1303030303030303,5
Donald Trump,2020,Republican,0.16076839826839828,6
Donald Trump,2025,Republican,0.03580687830687831,6
Dwight D. Eisenhower,1953,Republican,0.002777777777777777,6
Dwight D. Eisenhower,1954,Republican,0.32,5
Dwight D. Eisenhower,1955,Republican,0.08380681818181818,2
Dwight D. Eisenhower,1956,Republican,0.023611111111111124,2
Dwight D. Eisenhower,1959,Republican,0.5428571428571429,1
Dwight D. Eisenhower,1961,Republican,-0.0234375,6
Franklin D. Roosevelt,1941,Democratic,-0.09166666666666667,1
Franklin D. Roosevelt,1942,Democratic,0.1209722222222222,5
Franklin D. Roosevelt,1943,Democratic,0.07854166666666668,6
Franklin D. Roosevelt,1944,Democratic,0.24107142857142855,1
Franklin D. Roosevelt,1945,Democratic,0.32961989795918367,13
Franklin Pierce,1853,Democratic,0.13749999999999998,2
George Bush,1989,Republican,-0.1,2
George W. Bush,2002,Republican,0.0,1
George W. Bush,2003,Republican,0.15,1
George W. Bush,2006,Republican,0.06818181818181818,1
George W. Bush,2007,Republican,0.4,1
George W. Bush,2008,Republican,0.2739393939393939,1
Gerald R. Ford,1975,Republican,0.18409090909090908,1
Gerald R. Ford,1976,Republican,0.5,1
Gerald R. Ford,1977,Republican,0.0,1
Grover Cleveland,1885,Democratic,0.07252886002886003,14
Grover Cleveland,1886,Democratic,0.1974702380952381,6
Grover Cleveland,1888,Democratic,0.11479591836734693,6
Grover Cleveland,1893,Democratic,0.1636607142857143,4
Grover Cleveland,1894,Democratic,-0.0034090909090909102,6
Grover Cleveland,1895,Democratic,0.09072360675039247,9
Harry S Truman,1946,Democratic,0.06708333333333333,4
Harry S Truman,1948,Democratic,0.35714285714285715,1
Harry S Truman,1951,Democratic,0.14722222222222223,4
Harry S Truman,1952,Democratic,0.0,1
Harry S Truman,1953,Democratic,0.07627551020408163,9
Herbert Hoover,1929,Republican,-0.025,2
Herbert Hoover,1931,Republican,0.8,2
James Buchanan,1857,Democratic,0.1953373015873016,6
James Buchanan,1858,Democratic,0.11223333333333334,5
James Buchanan,1859,Democratic,0.1311111111111111,10
James Buchanan,1860,Democratic,0.15496031746031746,8
James K. Polk,1845,Democratic,-0.01547619047619047,2
James K. Polk,1847,Democratic,0.020679012345679013,11
James K. Polk,1848,Democratic,0.30416666666666664,2
Jimmy Carter,1978,Democratic,0.0,1
Jimmy Carter,1979,Democratic,0.1488284632034632,10
Jimmy Carter,1980,Democratic,0.045643365472910924,17
Jimmy Carter,1981,Democratic,-0.024161531495715174,10
John F. Kennedy,1961,Democratic,0.18125000000000002,2
John F. Kennedy,1962,Democratic,0.06454545454545454,1
John F. Kennedy,1963,Democratic,-0.25,3
John Quincy Adams,1825,Democratic-Republican,0.55,1
John Tyler,1843,Whig,0.2625,3
John Tyler,1844,Whig,0.09999999999999999,1
Joseph Biden,2021,Democratic,0.11574404761904762,5
Joseph Biden,2022,Democratic,0.05729166666666667,4
Lyndon B. Johnson,1966,Democratic,-0.08333333333333333,1
Lyndon B. Johnson,1967,Democratic,0.2625,3
Lyndon B. Johnson,1968,Democratic,-0.3666666666666667,2
Martin Van Buren,1838,Democratic,0.09924242424242426,1
Martin Van Buren,1840,Democratic,-0.07954545454545454,1
Millard Fillmore,1851,Whig,0.08194444444444444,3
Millard Fillmore,1852,Whig,0.23333333333333334,2
Richard M. Nixon,1970,Republican,0.0,1
Richard M. Nixon,1972,Republican,0.041666666666666664,2
Richard M. Nixon,1974,Republican,0.11875,5
