president,year,party,china_sentiment,china_mention_count
Abraham Lincoln,1861,Republican,0.16583333333333333,2
Abraham Lincoln,1862,Republican,0.2,1
Abraham Lincoln,1863,Republican,-0.030555555555555558,1
Abraham Lincoln,1864,Republican,0.10279761904761904,2
Andrew Jackson,1829,Democratic,,0
Andrew Jackson,1830,Democratic,,0
Andrew Jackson,1831,Democratic,-0.25,1
Andrew Jackson,1832,Democratic,,0
Andrew Jackson,1833,Democratic,,0
Andrew Jackson,1834,Democratic,,0
Andrew Jackson,1835,Democratic,,0
Andrew Jackson,1836,Democratic,,0
Andrew Johnson,1865,Republican,0.2916666666666667,1
Andrew Johnson,1866,Republican,,0
Andrew Johnson,1867,Republican,0.19298701298701298,1
Andrew Johnson,1868,Republican,0.15,1
Barack Obama,2009,Democratic,0.0,1
Barack Obama,2010,Democratic,0.12575757575757576,2
Barack Obama,2011,Democratic,0.15454545454545454,4
Barack Obama,2012,Democratic,-0.07095238095238096,5
Barack Obama,2013,Democratic,0.15833333333333335,1
Barack Obama,2014,Democratic,0.17045454545454544,2
Barack Obama,2015,Democratic,0.125,4
Barack Obama,2016,Democratic,0.1361111111111111,3
Benjamin Harrison,1889,Republican,0.17198979591836736,5
Benjamin Harrison,1890,Republican,0.09557823129251702,4
Benjamin Harrison,1891,Republican,0.03445294784580499,15
Benjamin Harrison,1892,Republican,0.013492063492063491,3
Calvin Coolidge,1923,Republican,,0
Calvin Coolidge,1924,Republican,,0
Calvin Coolidge,1925,Republican,0.0875,2
Calvin Coolidge,1926,Republican,0.012096560846560847,14
Calvin Coolidge,1927,Republican,0.1,2
Calvin Coolidge,1928,Republican,0.08571428571428572,3
Chester A. Arthur,1881,Republican,0.03200000000000001,6
Chester A. Arthur,1882,Republican,0.02397186147186147,5
Chester A. Arthur,1883,Republican,0.1353174603174603,8
Chester A. Arthur,1884,Republican,0.03208808198604117,7
Donald Trump,2017,Republican,0.5,1
Donald Trump,2018,Republican,0.0,3
Donald Trump,2019,Republican,0.1303030303030303,5
Donald Trump,2020,Republican,0.16076839826839828,6
Donald Trump,2025,Republican,0.03580687830687831,6
Dwight D. Eisenhower,1953,Republican,0.0023809523809523803,6
Dwight D. Eisenhower,1954,Republican,0.325,4
Dwight D. Eisenhower,1955,Republican,0.08380681818181818,2
Dwight D. Eisenhower,1956,Republican,0.023611111111111124,2
Dwight D. Eisenhower,1957,Republican,,0
Dwight D. Eisenhower,1958,Republican,,0
Dwight D. Eisenhower,1959,Republican,0.5428571428571429,1
Dwight D. Eisenhower,1960,Republican,,0
Dwight D. Eisenhower,1961,Republican,-0.0234375,5
Franklin D. Roosevelt,1934,Democratic,,0
Franklin D. Roosevelt,1935,Democratic,,0
Franklin D. Roosevelt,1936,Democratic,,0
Franklin D. Roosevelt,1937,Democratic,,0
Franklin D. Roosevelt,1938,Democratic,,0
Franklin D. Roosevelt,1939,Democratic,,0
Franklin D. Roosevelt,1940,Democratic,,0
Franklin D. Roosevelt,1941,Democratic,-0.09166666666666667,1
Franklin D. Roosevelt,1942,Democratic,0.1209722222222222,5
Franklin D. Roosevelt,1943,Democratic,0.10472222222222223,6
Franklin D. Roosevelt,1944,Democratic,0.24107142857142855,1
Franklin D. Roosevelt,1945,Democratic,0.32961989795918367,13
Franklin Pierce,1853,Democratic,0.13749999999999998,2
Franklin Pierce,1854,Democratic,,0
Franklin Pierce,1855,Democratic,,0
Franklin Pierce,1856,Democratic,,0
George Bush,1989,Republican,-0.1,2
George Bush,1990,Republican,,0
George Bush,1991,Republican,,0
George Bush,1992,Republican,,0
George W. Bush,2001,Republican,,0
George W. Bush,2002,Republican,0.0,1
George W. Bush,2003,Republican,0.15,1
George W. Bush,2004,Republican,,0
George W. Bush,2005,Republican,,0
George W. Bush,2006,Republican,0.06818181818181818,1
George W. Bush,2007,Republican,0.4,1
George W. Bush,2008,Republican,0.2739393939393939,1
George Washington,1790,Nonpartisan,,0
George Washington,1791,Nonpartisan,,0
George Washington,1792,Nonpartisan,,0
George Washington,1793,Nonpartisan,,0
George Washington,1794,Nonpartisan,0.0,0
George Washington,1795,Nonpartisan,,0
George Washington,1796,Nonpartisan,,0
Gerald R. Ford,1975,Republican,0.18409090909090908,1
Gerald R. Ford,1976,Republican,0.16666666666666666,1
Gerald R. Ford,1977,Republican,0.15,1
Grover Cleveland,1885,Democratic,0.07759589947089947,14
Grover Cleveland,1886,Democratic,0.1974702380952381,6
Grover Cleveland,1887,Democratic,,0
Grover Cleveland,1888,Democratic,0.11479591836734693,6
Grover Cleveland,1893,Democratic,0.1636607142857143,4
Grover Cleveland,1894,Democratic,-0.0034090909090909102,6
Grover Cleveland,1895,Democratic,0.09072360675039247,9
Grover Cleveland,1896,Democratic,,0
Harry S Truman,1946,Democratic,0.06708333333333333,4
Harry S Truman,1947,Democratic,,0
Harry S Truman,1948,Democratic,0.35714285714285715,1
Harry S Truman,1949,Democratic,,0
Harry S Truman,1950,Democratic,,0
Harry S Truman,1951,Democratic,0.375,2
Harry S Truman,1952,Democratic,-0.018181818181818184,1
